algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,none,strong,8,0,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,1,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,2,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,3,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,4,13,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,5,31,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,6,7,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,7,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,8,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,9,14,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,10,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,11,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,12,12,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,13,11,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,14,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,15,12,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,16,10,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,17,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,18,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,8,19,8,5,5,1.000000,5,5,0
